osm_id,name,amenity_type,amenity,wheelchair,toilets:wheelchair,opening_hours,operator,description,is_accessible,latitude,longitude
node/12259609423,Optus,wheelchair_accessible_place,,yes,,,,,True,-37.8102089,144.9630399
node/12259609424,Melbourne Central Guest Services Centre,wheelchair_accessible_place,,yes,,,,,True,-37.8105042,144.9630395
node/12259609426,Fossil,wheelchair_accessible_place,,yes,,,,,True,-37.8102041,144.9631969
node/12259609427,Lush,wheelchair_accessible_place,,yes,,,,,True,-37.8102242,144.9629152
node/12259611355,Central Point,wheelchair_accessible_place,pub,yes,,,,,True,-37.8112766,144.9615737
node/12259614705,Puzzle Coffee,wheelchair_accessible_place,cafe,yes,,,,,True,-37.810342,144.9633882
node/12259620498,Sephora,wheelchair_accessible_place,,yes,,,,,True,-37.8103911,144.9628681
node/12259620499,innisfree,wheelchair_accessible_place,,yes,,,,,True,-37.8103277,144.9628393
node/12259620500,Foot Locker,wheelchair_accessible_place,,yes,,,,,True,-37.8105265,144.9629383
node/12259627701,yd.,wheelchair_accessible_place,,yes,,,Retail Apparel Group,,True,-37.8104698,144.9629038
node/12259791642,Essence of Style,wheelchair_accessible_place,,yes,,Mo 10:00-17:30; Tu-Fr 09:00-17:30; Sa 09:00-17:00; Su off,,,True,-38.1846596,145.0894304
node/12264598493,Yoi,wheelchair_accessible_place,restaurant,yes,,,,,True,-37.8087213,144.9592777
node/12264598496,Ichigo,wheelchair_accessible_place,cafe,yes,,,,,True,-37.8086376,144.9593948
node/12264891791,Oscar Wylee,wheelchair_accessible_place,,yes,,,,,True,-38.218843,145.0394169
node/12264905482,Mornington NEWS & LOTTO,wheelchair_accessible_place,,yes,,,,,True,-38.2188705,145.0398712
node/12264921187,The Butcher Club,wheelchair_accessible_place,,yes,,,,,True,-38.2189435,145.039928
node/12264922057,Just Walking,wheelchair_accessible_place,,yes,,,,,True,-38.2190122,145.0399756
node/12264922058,Sports Co,wheelchair_accessible_place,,yes,,,,,True,-38.2188071,145.03982
node/12264922059,Deep Blue Florist,wheelchair_accessible_place,,yes,,,,,True,-38.2187831,145.0395869
node/12264927811,Jamaica Blue,wheelchair_accessible_place,cafe,yes,,,,,True,-38.2184677,145.0391434
node/12264940388,Container Deposit Scheme,wheelchair_accessible_place,payment_centre,yes,,"Mo-Fr 09:00-17:00; Sa,Su 09:00-16:00",,,True,-38.2312976,145.0525098
node/12264941496,Daniel's Donuts,wheelchair_accessible_place,fast_food,yes,,,,,True,-38.218322,145.039293
