tree_id,common_name,genus,dbh_cm,useful_life_years,useful_life_label,age_description,located_in,precinct,lat,lon,shade_score,suburb_id
1040129,Deodar,Cedrus,60.0,30,21 - 30 years,Mature,Park,East Melbourne,-37.8140969,144.975639,0.0023,297979799
1040136,Horse Chestnut,Aesculus,25.0,20,11 - 20 years,Mature,Park,East Melbourne,-37.81395964,144.9748106,0.001,297979799
1040137,Kurrajong,Brachychiton,29.0,30,21 - 30 years,Mature,Park,East Melbourne,-37.81375463,144.974785,0.0011,297979799
1040149,Canary Island Date Palm,Phoenix,40.0,30,21 - 30 years,Mature,Park,East Melbourne,-37.81353516,144.9747976,0.0015,297979799
1040153,Canary Island Date Palm,Phoenix,42.0,30,21 - 30 years,Mature,Park,East Melbourne,-37.8127098,144.9775955,0.0016,297979799
1040154,Moreton Bay Fig,Ficus,12.0,30,21 - 30 years,Mature,Park,East Melbourne,-37.81280354,144.9774169,0.0005,297979799
1040155,Golden Elm,Ulmus,80.0,40,31 - 40 years,Mature,Park,East Melbourne,-37.81304407,144.9775128,0.0031,297979799
1040158,European nettle tree,Celtis,70.0,30,21 - 30 years,Mature,Park,East Melbourne,-37.81303247,144.9772044,0.0027,297979799
1040159,Petticoat or Desert Fan Palm,Washingtonia,33.0,30,21 - 30 years,Mature,Park,East Melbourne,-37.81286359,144.977037,0.0013,297979799
1040162,Tulip Tree,Liriodendron,35.0,40,31 - 40 years,Mature,Park,East Melbourne,-37.81300708,144.9769203,0.0013,297979799
1040166,Canary Island Date Palm,Phoenix,72.0,30,21 - 30 years,Mature,Park,East Melbourne,-37.81302508,144.9765137,0.0028,297979799
1040172,Golden Carolina Poplar,Populus,90.0,30,21 - 30 years,Mature,Park,East Melbourne,-37.81327087,144.976787,0.0035,297979799
1040173,English Elm,Ulmus,13.0,20,11 - 20 years,Mature,Park,East Melbourne,-37.81330524,144.9774707,0.0005,297979799
1040175,Petticoat or Desert Fan Palm,Washingtonia,40.0,30,21 - 30 years,Mature,Park,East Melbourne,-37.81323199,144.9757833,0.0015,297979799
1040179,English Elm,Ulmus,89.0,30,21 - 30 years,Mature,Park,East Melbourne,-37.81378766,144.9749827,0.0034,297979799
1040189,Canary Island Date Palm,Phoenix,43.0,40,31 - 40 years,Mature,Park,East Melbourne,-37.81073702,144.9832219,0.0017,297979799
1040191,Cape Chestnut,Calodendrum,27.0,20,11 - 20 years,Mature,Park,East Melbourne,-37.81085426,144.9831442,0.001,297979799
1040192,Canary Island Date Palm,Phoenix,50.0,40,31 - 40 years,Mature,Park,East Melbourne,-37.81082748,144.9829914,0.0019,297979799
1040195,Cape Chestnut,Calodendrum,30.0,10,< 10 years,Mature,Park,East Melbourne,-37.81110933,144.983115,0.0012,297979799
1040196,Cork Oak,Quercus,65.0,30,21 - 30 years,Mature,Park,East Melbourne,-37.81119613,144.9832158,0.0025,297979799
