suburb_id,population_total,population_65_74,population_75_84,population_85_plus,need_assistance
210051442,12309,525,168,50,608
210051443,21673,1074,320,85,1342
210051445,23374,614,171,43,776
210051542,9842,259,67,17,444
210051543,12999,533,314,113,744
210051544,9479,572,236,64,763
210051545,14658,678,347,99,1290
211011251,12589,1126,760,338,833
211011254,16601,1573,893,230,706
211011255,6594,532,204,51,240
211011256,15418,1488,744,272,844
211011257,7905,628,404,134,346
211011258,10375,957,514,151,420
211011259,14341,1806,843,404,783
211011260,17942,2184,1252,708,1270
211011446,23560,2350,1439,626,1704
211011447,14145,1454,944,354,989
211011448,15334,1493,741,226,856
211011449,4345,423,164,43,172
211021261,16275,1714,1213,550,881
211021262,10112,1170,524,198,473
211031263,11871,1019,479,278,783
211031265,18059,1703,791,249,767
211031266,18715,1564,1044,584,1183
211031267,21132,1890,1197,505,1193
211031268,9654,1030,657,208,510
211031450,16109,1628,936,372,1066
211031451,14139,1434,1170,595,1037
211031452,4898,460,257,82,290
211041269,10780,1056,849,456,844
211041270,16795,1484,909,326,738
211041271,12413,1028,771,437,766
211041272,10993,969,800,257,544
211041273,11954,1653,1063,495,701
211051274,10005,1013,386,79,416
211051275,11779,1174,691,165,567
211051276,14065,1773,1030,374,887
211051277,9916,950,733,280,660
211051278,19599,1947,1181,445,1177
211051279,5816,653,307,94,252
211051280,6943,703,430,213,482
211051281,23146,2080,1146,346,1249
211051282,9706,1308,513,113,416
211051283,9799,935,452,76,502
211051284,9777,1009,332,81,377
211051285,7902,723,394,94,357
211051286,16799,1999,904,295,1061
212011289,18633,1879,793,227,868
212011546,23632,1358,585,125,825
212011547,9868,993,535,174,423
212011548,10069,950,480,185,546
212011549,15441,968,568,234,885
212011550,7479,463,206,28,297
212011551,6439,542,501,163,401
212011552,26783,1566,980,360,1484
212021293,22963,2279,1790,842,1403
212021295,11889,889,522,200,924
212021297,11472,993,558,314,977
212021299,8241,844,409,197,498
212021453,12086,1261,518,198,832
212021454,13360,1554,588,167,900
212021455,13504,901,469,148,740
212021456,14758,1118,546,217,1000
212021553,17760,996,451,87,638
212021554,11254,519,192,62,492
212031300,21281,1648,742,245,1445
212031303,17400,1052,498,172,719
212031304,21535,1019,428,151,958
212031306,18027,828,303,163,825
212031308,8024,846,331,89,397
212031457,13152,866,404,82,623
212031458,16713,892,373,114,862
212031555,10535,465,205,20,263
212031556,14802,316,92,5,336
212031557,23415,1064,711,221,1039
212031558,12289,457,372,222,515
212031559,12772,401,157,45,416
212031560,11910,711,329,61,715
212031561,12715,745,315,83,672
212031562,13368,997,422,107,807
212041309,11554,1533,909,395,1076
212041310,13381,1048,746,283,873
212041312,22526,2239,1366,543,1814
212041313,10499,1227,773,321,567
212041316,7456,824,519,115,623
212041317,22248,1828,1200,614,1663
212041318,12621,1186,642,229,878
212041459,12739,907,539,327,928
212041460,19591,1671,1087,428,1448
212041563,21487,1531,1038,541,1844
212041564,9350,642,414,141,684
212041565,15096,1762,1012,339,1043
212041566,15093,771,274,119,557
212051319,19507,1477,973,531,1299
212051321,21603,2258,1700,686,1063
212051322,21036,1769,1308,712,1127
