sensor_id,sensor_name,sensor_description,location_type,status,lat,lon,direction_1,direction_2,suburb_id,suburb_name
105,KatLib2_T,Kathleen Syme Library Lib,Indoor,A,-37.79861828,144.9652825,,,206041117,Carlton
106,KatLib3_T,Kathleen Syme Library Cafe,Indoor,A,-37.79859459,144.96510921,,,206041117,Carlton
107,280Will_T,Flagstaff station (East),Outdoor,A,-37.81246271,144.95690188,North,South,206041505,Melbourne CBD - West
108,261Will_T,William St - Little Lonsdale St (West),Outdoor,A,-37.81295822,144.95678789,In,Out,206041505,Melbourne CBD - West
109,LatWill_T,La Trobe St- William St (South),Outdoor,A,-37.81193681,144.95621105,East,West,206041504,Melbourne CBD - North
116,FitCafVis_T,Fitzroy Garden Visitor Centre Cafe Verandah,Indoor,A,-37.81493732,144.97932442,,,206041119,East Melbourne
117,Fli114F_T,114 Flinders Street Car Park Footpath,Outdoor,A,-37.81629332,144.97090877,East,West,206041503,Melbourne CBD - East
118,Fli114C_T,114 Flinders Street Car Park Crossing,Outdoor,A,-37.81632783,144.97090512,North,South,206041503,Melbourne CBD - East
123,BirBridge_T,Birrarung Marr East - Batman Ave Bridge Entry,Outdoor,A,-37.81753741,144.97329734,East,West,206041503,Melbourne CBD - East
124,BirBridge_T,Birrarung Marr East - Batman Ave Bridge Entry,Outdoor,A,-37.81757416,144.97329934,North,South,206041503,Melbourne CBD - East
130,Bou892T,I-Hub 892 Bourke Street,Outdoor,A,-37.8204637,144.94126826,East,West,206041118,Docklands
131,King2_T,I-Hub Corner of King Street and Flinders Street (2-6 King),Outdoor,A,-37.82009057,144.95758725,North,South,206041505,Melbourne CBD - West
132,King335_T,I-Hub Corner of King Street and Latrobe Street (317-335 King),Outdoor,A,-37.81267639,144.95386444,North,South,206041510,West Melbourne - Residential
133,Spen229_T,I-Hub Southern Cross Station - Lonsdale Street Entrance - South,Outdoor,A,-37.81531435,144.95227769,North,South,206041505,Melbourne CBD - West
134,Spen201_T,I-Hub Southern Cross Station - Bourke Street Entrance - North,Outdoor,A,-37.81694221,144.95303935,North,South,206041505,Melbourne CBD - West
135,Spen161_T,I-Hub Southern Cross Station - Bourke Street Entrance - South,Outdoor,A,-37.8172861,144.95319102,North,South,206041505,Melbourne CBD - West
