stop_id,stop_name,lat,lon,stop_url,location_type,parent_station,wheelchair_boarding,level_id,platform_code,mode,stop_code,is_wheelchair_accessible,is_wheelchair_inaccessible,suburb_id,suburb_name,routes_served,route_count
15623,Silverton Dr/Mountain Gate Dr,-37.88671278,145.2763505,https://transport.vic.gov.au/stop/15016/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click,,,0,Level 0,,bus,15623,False,False,211011448,Ferntree Gully (South) - Upper Ferntree Gully,755,1
15624,Mountain Gate SC/Mountain Gate Dr,-37.88353997,145.27569676,https://transport.vic.gov.au/stop/15018/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click,,,0,Level 0,,bus,15624,False,False,211011447,Ferntree Gully - North,755,1
15625,Lane Rd/Francis Cres,-37.87919419,145.29225046,https://transport.vic.gov.au/stop/16282/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click,,,0,Level 0,,bus,15625,False,False,211011447,Ferntree Gully - North,755,1
15626,Shannon Ave/Francis Cres,-37.87658179,145.28860431,https://transport.vic.gov.au/stop/16283/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click,,,0,Level 0,,bus,15626,False,False,211011447,Ferntree Gully - North,755,1
15627,Tim Neville Arboretum/Francis Cres,-37.87653077,145.28571762,https://transport.vic.gov.au/stop/16284/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click,,,0,Level 0,,bus,15627,False,False,211011447,Ferntree Gully - North,755,1
15628,Edina Rd/Dorset Rd,-37.87386251,145.28505184,https://transport.vic.gov.au/stop/15024/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click,,,0,Level 0,,bus,15628,False,False,211011447,Ferntree Gully - North,755,1
15629,Sutton Ave/Dorset Rd,-37.87078307,145.28523693,https://transport.vic.gov.au/stop/16286/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click,,,0,Level 0,,bus,15629,False,False,211011447,Ferntree Gully - North,755,1
15630,Reve St/Dorset Rd,-37.86834261,145.28536172,https://transport.vic.gov.au/stop/16287/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click,,,0,Level 0,,bus,15630,False,False,211011447,Ferntree Gully - North,755,1
15631,Douglas St/Dorset Rd,-37.86629854,145.2854773,https://transport.vic.gov.au/stop/16288/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click,,,0,Level 0,,bus,15631,False,False,211011446,Boronia,755,1
15632,Park Cres/Dorset Rd,-37.86469592,145.28558265,https://transport.vic.gov.au/stop/16289/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click,,,0,Level 0,,bus,15632,False,False,211011446,Boronia,755,1
15635,Albert Ave/Boronia Rd,-37.8629297,145.29117091,https://transport.vic.gov.au/stop/16292/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click,,,0,Level 0,,bus,15635,False,False,211011446,Boronia,755,1
15636,Ethel St/Boronia Rd,-37.86305199,145.29400996,https://transport.vic.gov.au/stop/16293/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click,,,0,Level 0,,bus,15636,False,False,211011446,Boronia,755,1
