suburb_id,suburb_name,centroid_lat,centroid_lng
208021174,Bentleigh - McKinnon,-37.919476729668766,145.0379712752781
208021176,Carnegie,-37.89339031883657,145.05589763721423
208021177,Caulfield - North,-37.87388050905115,145.02290277412936
208021178,Caulfield - South,-37.89138003447485,145.0253618905466
208021179,Elsternwick,-37.88696205297789,145.00719931196065
208021180,Hughesdale,-37.899479985896996,145.08113589903587
208021181,Murrumbeena,-37.896837214148476,145.0703681515409
208021182,Ormond - Glen Huntly,-37.90036691004987,145.04142246599693
208021426,Bentleigh East - North,-37.91482351556702,145.06804912514767
208021427,Bentleigh East - South,-37.92941338756159,145.0653262607595
208031183,Aspendale Gardens - Waterways,-38.01909942119203,145.1230755899465
208031184,Braeside,-37.99801987920587,145.12223210191823
208031185,Carrum - Patterson Lakes,-38.07130607012214,145.13919436332037
208031186,Chelsea - Bonbeach,-38.05659606709734,145.12461162875238
208031187,Chelsea Heights,-38.040842683041646,145.13423731105206
208031188,Highett (East) - Cheltenham,-37.9611789312804,145.066078309777
208031189,Edithvale - Aspendale,-38.02822955805323,145.1074763914098
208031190,Mentone,-37.98164472773213,145.06904869296952
208031191,Moorabbin - Heatherton,-37.950345169229884,145.07932001599912
208031192,Moorabbin Airport,-37.977456510328835,145.09951785447004
208031193,Mordialloc - Parkdale,-37.9960044239569,145.08944322510658
208041194,Malvern - Glen Iris,-37.85641657017465,145.04226878339156
208041195,Malvern East,-37.87683670697145,145.0658465132018
209011196,Bundoora - East,-37.69881453357731,145.068332049265
209011197,Greensborough,-37.70010157364166,145.113897693988
209011198,Heidelberg - Rosanna,-37.7457124535588,145.06965456984312
209011199,Heidelberg West,-37.74299166910567,145.04640646488664
209011200,Ivanhoe,-37.76903289759435,145.04307795877523
209011201,Ivanhoe East - Eaglemont,-37.76857045821035,145.0627937171977
209011202,Montmorency - Briar Hill,-37.728855544959096,145.11969011287394
209011203,Viewbank - Yallambie,-37.73122296556389,145.08824007833027
209011204,Watsonia,-37.704905543151256,145.08414686095608
209021205,Kingsbury,-37.7145614542566,145.04904287341571
209021428,Preston - East,-37.74275979044944,145.01600094321014
209021429,Preston - West,-37.7399398850387,144.9900648418594
209021523,Reservoir - North East,-37.70594915026962,145.0212078702657
209021524,Reservoir - North West,-37.6999663021415,144.9939837647972
209021525,Reservoir - South East,-37.72535007228304,145.0220180199272
209021526,Reservoir - South West,-37.71781656990727,144.99393106515862
209031209,Eltham,-37.714707746013836,145.15681877955677
209031210,Hurstbridge,-37.637579825735365,145.19433537911002
209031211,Kinglake,-37.49108591739881,145.40824177594632
209031212,Panton Hill - St Andrews,-37.59584671179543,145.26474854560217
209031213,Plenty - Yarrambat,-37.653518642823336,145.12385079820254
209031214,Research - North Warrandyte,-37.69900390177482,145.22061893926673
