stop_id,hour,departure_count,mode,avg_departures_per_hour
12208,8,42,train,8.4
11123,9,24,train,4.8
11121,9,41,train,8.2
11120,9,39,train,7.8
11120,15,34,train,6.8
11121,15,34,train,6.8
11122,15,17,train,3.4
11245,15,17,train,3.4
11247,15,17,train,3.4
12261,8,76,train,15.2
12231,9,45,train,9.0
12233,9,38,train,7.6
12235,9,35,train,7.0
11413,9,17,train,3.4
11411,9,24,train,4.8
11409,9,24,train,4.8
11248,9,17,train,3.4
11246,9,18,train,3.6
11249,16,31,train,6.2
11410,16,31,train,6.2
11412,16,24,train,4.8
12236,16,21,train,4.2
12234,16,48,train,9.6
12232,16,48,train,9.6
12230,16,48,train,9.6
12226,16,41,train,8.2
12225,16,55,train,11.0
12221,16,69,train,13.8
12223,9,70,train,14.0
12224,9,66,train,13.2
12228,9,35,train,7.0
12229,9,31,train,6.2
11120,16,55,train,11.0
11121,16,55,train,11.0
11122,16,24,train,4.8
11245,16,24,train,4.8
11247,16,24,train,4.8
26537,9,56,train,11.2
11246,10,24,train,4.8
11119,10,7,train,1.4
12226,17,62,train,12.4
12225,17,90,train,18.0
12221,17,90,train,18.0
12235,10,29,train,5.8
11413,10,17,train,3.4
11411,10,17,train,3.4
11409,10,17,train,3.4
11248,10,17,train,3.4
11123,10,17,train,3.4
11121,10,34,train,6.8
11120,10,34,train,6.8
11412,17,31,train,6.2
12236,17,28,train,5.6
12234,17,55,train,11.0
12232,17,55,train,11.0
12230,17,55,train,11.0
12243,10,56,train,11.2
12223,10,56,train,11.2
12228,10,28,train,5.6
12229,10,31,train,6.2
12231,10,31,train,6.2
12233,10,31,train,6.2
11122,17,24,train,4.8
11245,17,24,train,4.8
11247,17,24,train,4.8
11249,17,24,train,4.8
11410,17,24,train,4.8
11214,10,104,train,20.8
12261,10,42,train,8.4
12235,11,33,train,6.6
11413,11,17,train,3.4
11411,11,17,train,3.4
11409,11,17,train,3.4
11248,11,17,train,3.4
11246,11,17,train,3.4
11123,11,17,train,3.4
11121,11,34,train,6.8
11120,11,34,train,6.8
11120,17,48,train,9.6
11121,17,55,train,11.0
11213,10,66,train,13.2
12243,11,56,train,11.2
12223,11,56,train,11.2
12228,11,28,train,5.6
12229,11,34,train,6.8
12231,11,34,train,6.8
12233,11,33,train,6.6
12230,18,47,train,9.4
12226,18,47,train,9.4
12225,18,61,train,12.2
12221,18,62,train,12.4
11213,11,68,train,13.6
12261,11,37,train,7.4
12235,12,48,train,9.6
11413,12,17,train,3.4
11411,12,17,train,3.4
11409,12,17,train,3.4
11248,12,17,train,3.4
11246,12,17,train,3.4
11123,12,17,train,3.4
11121,18,62,train,12.4
11122,18,24,train,4.8
11245,18,23,train,4.6
11247,18,23,train,4.6
11249,18,23,train,4.6
11410,18,16,train,3.2
11412,18,17,train,3.4
12236,18,15,train,3.0
12234,18,47,train,9.4
12232,18,48,train,9.6
12243,12,35,train,7.0
12223,12,42,train,8.4
12228,12,14,train,2.8
12229,12,48,train,9.6
12231,12,48,train,9.6
12233,12,48,train,9.6
11120,18,31,train,6.2
12237,18,33,train,6.6
26535,18,48,train,9.6
12212,18,41,train,8.2
12210,19,31,train,6.2
12206,19,31,train,6.2
11213,12,75,train,15.0
12261,12,37,train,7.4
12222,12,27,train,5.4
12227,12,55,train,11.0
12235,13,34,train,6.8
11413,13,17,train,3.4
11411,13,17,train,3.4
11409,13,17,train,3.4
11248,13,17,train,3.4
11246,13,17,train,3.4
11123,13,17,train,3.4
11410,19,26,train,5.2
11412,19,25,train,5.0
12237,19,42,train,8.4
12234,19,25,train,5.0
12232,19,25,train,5.0
12230,19,33,train,6.6
12226,19,33,train,6.6
12225,19,33,train,6.6
12221,19,33,train,6.6
26535,19,33,train,6.6
12212,19,33,train,6.6
12249,12,20,train,4.0
12245,12,20,train,4.0
12242,13,34,train,6.8
12239,13,34,train,6.8
12207,13,34,train,6.8
12211,13,34,train,6.8
12213,13,34,train,6.8
26536,13,34,train,6.8
12222,13,34,train,6.8
12224,13,34,train,6.8
12227,13,34,train,6.8
12229,13,34,train,6.8
12231,13,34,train,6.8
12233,13,34,train,6.8
11119,19,32,train,6.4
11121,19,42,train,8.4
11122,19,18,train,3.6
11245,19,26,train,5.2
11247,19,19,train,3.8
11249,19,19,train,3.8
12234,20,25,train,5.0
12232,20,25,train,5.0
12230,20,25,train,5.0
12226,20,32,train,6.4
12225,20,25,train,5.0
12221,20,31,train,6.2
26535,20,24,train,4.8
12212,20,24,train,4.8
12210,20,32,train,6.4
12206,20,32,train,6.4
12260,20,34,train,6.8
11119,20,15,train,3.0
11121,20,49,train,9.8
11122,20,18,train,3.6
11245,20,18,train,3.6
11247,20,18,train,3.6
11249,20,18,train,3.6
11410,20,17,train,3.4
11412,20,9,train,1.8
12236,20,27,train,5.4
12260,21,42,train,8.4
11214,21,47,train,9.4
11120,20,34,train,6.8
11412,21,18,train,3.6
12237,21,56,train,11.2
12234,21,18,train,3.6
12232,21,18,train,3.6
12230,21,18,train,3.6
12226,21,18,train,3.6
12225,21,18,train,3.6
