toilet_id,suburb_id,suburb_name,name,lat,lon,has_female,has_male,has_wheelchair,has_baby_facility,operator
43,206041124,Parkville,Public Toilet - Royal Park Brens Pavilion,-37.78622124839705,144.9550008758734,True,True,False,False,City of Melbourne
44,206041118,Docklands,Public Toilet - Toilet 181 - Point Park (Point Park Crescent),-37.82331083443533,144.94182760665478,True,True,True,True,City of Melbourne
45,206011496,Brunswick - South,Public Toilet - Toilet 127 - Princes Park Royal Parade (near Park Street),-37.7789496090064,144.96046591899102,True,True,True,False,City of Melbourne
46,206041125,South Yarra - West,"Public Toilet - Toilet 42 - Fawkner Park, Opposite 55 Commercial Road",-37.845206563009405,144.9826144313013,True,True,True,False,City of Melbourne
47,206041119,East Melbourne,Public Toilet - Toilet 122 - Treasury Gardens (Store and Toilet),-37.81341843500891,144.97746700744847,True,True,True,False,City of Melbourne
48,206041121,Kensington (Vic.),"Public Toilet - Toilet 162 - JJ Holland Park (Opposite, 48 Altona Street)",-37.79812546150608,144.92642466756246,True,True,True,False,City of Melbourne
49,206041504,Melbourne CBD - North,Public Toilet - Queen Victoria Market (465 Queen Street),-37.80783122147196,144.95795526595654,True,True,True,True,City of Melbourne
50,206041124,Parkville,Public Toilet - Toilet 52 - Princes Park (Adjacent Southern Sports Pavilion),-37.787904827147685,144.95949479077186,True,True,True,False,City of Melbourne
51,206041510,West Melbourne - Residential,Public Toilet - Toilet 13 - Queensberry Street (Opposite 530 Queensberry Street),-37.803094275484256,144.94994632091922,,,,False,City of Melbourne
52,206041510,West Melbourne - Residential,Public Toilet - Toilet 154 - Flagstaff Gardens (cnr William & Dudley),-37.80891324235131,144.95504018635694,True,True,True,False,City of Melbourne
53,206041503,Melbourne CBD - East,Public Toilet - Toilet 14 - Flinders Street (27 Flinders Street),-37.81598982599987,144.97279836576897,False,True,False,False,City of Melbourne
54,206041508,Southbank (West) - South Wharf,Public Toilet - Toilet 169 - Batman Park (2A Spencer Street),-37.821720681669966,144.95557809313962,True,True,True,False,City of Melbourne
55,206041503,Melbourne CBD - East,Public Toilet - Toilet 6 - Elizabeth Street (Toilet Adjacent 200 Elizabeth Street),-37.81343920794399,144.96292272645067,False,True,False,False,City of Melbourne
56,206071140,Carlton North - Princes Hill,Public Toilet - Toilet 133- Canning Street Reserve (49 Princes Street),-37.79301167872576,144.97399489761827,False,True,False,False,City of Melbourne
57,206041125,South Yarra - West,"Public Toilet - Toilet 102 - Fawkner Park, North Pavilion (Male)",-37.840147692965054,144.98138308753735,False,True,False,False,City of Melbourne
58,206041504,Melbourne CBD - North,Public Toilet - Toilet 36 - Lonsdale Street (Opposite 424 Lonsdale Street),-37.8129330992456,144.9600121469519,True,True,True,,City of Melbourne
59,206041119,East Melbourne,Public Toilet - Toilet 111 - Birrarung Marr Speakers Corner,-37.821004779775386,144.97593322373976,True,True,True,False,City of Melbourne
60,206041503,Melbourne CBD - East,Public Toilet - Toilet 48 - Birrarung Marr (Opposite Artplay),-37.81859887229392,144.97105956826817,True,True,True,False,City of Melbourne
61,206041507,Royal Botanic Gardens Victoria,Public Toilet - Toilet 104 - Kings Domain South (off Birdwood Avenue),-37.83084912404898,144.97518226820782,True,True,True,False,City of Melbourne
62,206041509,Southbank - East,Public Toilet - Toilet 110 - Queen Victoria Gardens (Linlithgow Avenue),-37.822948288677665,144.97098568179825,True,True,True,False,City of Melbourne
63,206041504,Melbourne CBD - North,Public Toilet - Queen Victoria Market (153 Victoria Street),-37.80612149907781,144.95653844268273,True,True,False,False,City of Melbourne
64,206041504,Melbourne CBD - North,Public Toilet - Queen Victoria Market (Food Court - 65-81 Victoria Street),-37.80637961897052,144.95905779158946,True,True,False,False,City of Melbourne
65,206041505,Melbourne CBD - West,Public Toilet - Toilet 43 - Queen Street (opposite 113 Queen Street),-37.815838165017645,144.9610620730027,True,True,True,False,City of Melbourne
66,206071140,Carlton North - Princes Hill,Public Toilet - Toilet 128 - Princes Park South Playground (Princes Park Drive),-37.785598387452595,144.9630353603256,True,True,True,False,City of Melbourne
67,206041121,Kensington (Vic.),Public Toilet - Toilet 177 - Bellair Street (Opposite 180 Bellair Street),-37.79373229128235,144.9303518616331,True,True,True,False,City of Melbourne
68,206041503,Melbourne CBD - East,Public Toilet - Town Hall Melbourne (200 Collins Street),-37.81521576619692,144.96694328510318,True,True,True,True,City of Melbourne
